Date,Sigma
2012-10-26,0.00792171574519014
2012-10-31,0.007666736997153001
2012-11-01,0.0074203552381725095
2012-11-02,0.00775796215094699
2012-11-05,0.007923577593016741
2012-11-06,0.0076866229093739405
2012-11-07,0.007731109108331159
2012-11-08,0.00988081300600965
2012-11-09,0.0100866089999092
2012-11-12,0.00973736326368261
2012-11-13,0.0093933783754805
2012-11-14,0.0091285649714452
2012-11-15,0.0095783253832974
2012-11-16,0.009251515380890741
2012-11-19,0.00902379499941649
2012-11-20,0.0101935102632675
2012-11-21,0.0098303255112995
2012-11-23,0.00950250567198088
2012-11-26,0.00980808070647074
2012-11-27,0.00947657532368108
2012-11-28,0.00925252413940748
2012-11-29,0.00917556087710031
2012-11-30,0.00893123965489364
2012-12-03,0.008624535446130491
2012-12-04,0.00842980188176082
