Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2007-03-14,0,0.00181684442327032,0,0,0,-0.00127534770506621
2007-03-15,0,0.00181003802685407,0,0,0,-0.00102145054846492
2007-03-16,0,0.00180068917959026,0,0,0,0.000127738391947574
2007-03-19,0,0.0017867707207465,0,0,0,-0.00076667522283369
2007-03-20,0,0.00177568082512929,0,0,0,0.00102210306585704
2007-03-21,0,0.00176687897945435,0,0,0,0.00127616147998477
2007-03-22,0,0.00176094305000356,0,0,0,-0.00191485346056464
2007-03-23,0,0.00176462492355166,0,0,0,-0.00140655991478056
2007-03-26,0,0.0017603616457042,0,0,0,-0.000511967245279799
2007-03-27,0,0.00174812930147753,0,0,0,0.000128016386272023
2007-03-28,0,0.00173490373228512,0,0,0,0.000511901726049757
2007-03-29,0,0.00172302550808408,0,0,0,-0.00153649197961681
2007-03-30,0,0.00172135959764046,0,0,0,0
2007-04-02,0,0.00170841134703047,0,0,0,0.00128057387201341
2007-04-03,0,0.00170356239904463,0,0,0,-0.00102432787445483
2007-04-04,0,0.00169594184359342,0,0,0,0.00115229511501624
2007-04-05,0,0.00168980062384447,0,0,0,-0.000896114762648281
2007-04-09,0,0.00168120257826197,0,0,0,-0.00384961337723588
2007-04-10,0,0.00174021946795226,0,0,0,0.00154162414910086
2007-04-11,0,0.00173828974743303,0,0,0,-0.000642054596695196
2007-04-12,0,0.00172707881808659,0,0,0,0.00115540163055616
2007-04-13,0,0.00172044109936549,0,0,0,-0.0015408323541557
2007-04-16,0,0.00171889017624798,0,0,0,0.00192566976510111
2007-04-17,0,0.00171109728879928,0,0,0,0.00294551022975664
2007-04-18,0,0.00174117718250003,0,0,0,0.00153335067098936
2007-04-19,0,0.0017388265849285,0,0,0,-0.000383117302432012
2007-04-20,0,0.00172547504630794,0,0,0,-0.000511051499559656
2007-04-23,0,0.00171289413481894,0,0,0,0.00102184195888455
2007-04-24,0,0.00170448847781555,0,0,0,0.000382921697192451
2007-04-25,0,0.00169162899017683,0,0,0,0.000510334280022562
2007-04-26,0,0.00167954330712569,0,0,0,-0.00191509793609956
2007-04-27,0,0.0016852706767718,0,0,0,-0.000255623723274034
2007-04-30,0,0.00167226734649228,0,0,0,0.00344541909137419
2007-05-01,0,0.00172006793960727,0,0,0,-0.000637145609321266
2007-05-02,0,0.00170830191291389,0,0,0,0.000382336078065926
2007-05-03,0,0.00169538517512097,0,0,0,-0.00114744705647674
2007-05-04,0,0.00168867934690763,0,0,0,0.00127485993809096
2007-05-07,0,0.00168368542257098,0,0,0,0.00101871904900808
2007-05-08,0,0.00167574725680779,0,0,0,-0.0011461319306223
2007-05-09,0,0.00166938024223226,0,0,0,-0.00114744705647674
2007-05-10,0,0.00166314453089138,0,0,0,0.00165700120762935
2007-05-11,0,0.00166448815208846,0,0,0,-0.00191216834348751
2007-05-14,0,0.00167053825041933,0,0,0,0.00012759170671206
2007-05-15,0,0.00165748844573545,0,0,0,-0.000382823969455437
2007-05-16,0,0.0016453108028448,0,0,0,0.000255232262743377
2007-05-17,0,0.00163287893578714,0,0,0,-0.00178799536778396
2007-05-18,0,0.001637307467775,0,0,0,-0.0029443790073973
2007-05-21,0,0.00167030056644407,0,0,0,0.0020491810449359
2007-05-22,0,0.00166051385679986,0,0,0,-0.0020491810449359
2007-05-23,0,0.00167115571782469,0,0,0,-0.000769526779028418
2007-05-24,0,0.00165874268989631,0,0,0,0.000384837410945416
2007-05-25,0,0.00164371825940178,0,0,0,-0.000513149466039309
2007-05-29,0,0.00162968919859203,0,0,0,-0.00089864567315967
2007-05-30,0,0.00161944114553647,0,0,0,0.00115525332147559
2007-05-31,0,0.00161283378802596,0,0,0,-0.00218326677618386
2007-06-01,0,0.0016286878807032,0,0,0,-0.00102907135399999
2007-06-04,0,0.00162009253205984,0,0,0,0.00115763084508114
2007-06-05,0,0.00161350694279165,0,0,0,-0.00283213371590207
2007-06-06,0,0.00165021299757745,0,0,0,0.000386672686392586
2007-06-07,0,0.00163534033132909,0,0,0,-0.00685332739927169
2007-06-08,0,0.00190043805035054,0,0,0,-0.00129836424367546
2007-06-11,0,0.00189006965862635,0,0,0,0.000779220818648341
2007-06-12,0,0.00187386718948329,0,0,0,-0.00598960123984238
2007-06-13,0,0.00204790240759685,0,0,0,0.00156596665173581
