Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2006-05-22,0,0.0072721550344234,0,0,0,-0.00392234894552068
2006-05-23,0,0.00715146576873461,0,0,0,-0.00435948519630358
2006-05-24,0,0.00705124550245058,0,0,0,0.00158241092201283
2006-05-25,0,0.00689230680140715,0,0,0,0.0113058937991131
2006-05-26,0,0.00721500026847629,0,0,0,0.00570302050221283
2006-05-30,0,0.00716218491540722,0,0,0,-0.0159765290823302
2006-05-31,0,0.00789838356428612,0,0,0,0.00807922306399966
2006-06-01,0,0.00792261499827614,0,0,0,0.012223330840671
2006-06-02,0,0.00822119068602227,0,0,0,0.00195032560762876
2006-06-05,0,0.00802589840126613,0,0,0,-0.0179600756318434
2006-06-06,0,0.00884968745526925,0,0,0,-0.00113872712115892
2006-06-07,0,0.00862527198189797,0,0,0,-0.00611113012985065
2006-06-08,0,0.00852110334621014,0,0,0,0.00141602518410444
2006-06-09,0,0.00830979705942514,0,0,0,-0.00448565226304787
2006-06-12,0,0.00816458532483422,0,0,0,-0.0119371311510541
2006-06-13,0,0.00841966235325904,0,0,0,-0.0111738453982664
2006-06-14,0,0.00859902932382227,0,0,0,0.00517580514222615
2006-06-15,0,0.00846307691309708,0,0,0,0.0210127592870535
2006-06-16,0,0.00956120911542621,0,0,0,-0.00368465544285446
2006-06-19,0,0.00934847068364959,0,0,0,-0.00915858019352456
2006-06-20,0,0.00934492951458121,0,0,0,-8.06370325623362e-06
2006-06-21,0,0.0091005556513161,0,0,0,0.00969385520089983
2006-06-22,0,0.0091406369327783,0,0,0,-0.00528466279142137
2006-06-23,0,0.0089855687986717,0,0,0,-0.000883498712141773
2006-06-26,0,0.00875513176768323,0,0,0,0.00485760816666136
2006-06-27,0,0.00860279048675311,0,0,0,-0.00912544087164946
2006-06-28,0,0.00865399597623703,0,0,0,0.00547241024473966
2006-06-29,0,0.00852515215824289,0,0,0,0.0213357730212289
2006-06-30,0,0.00965956332553661,0,0,0,-0.00209982499975325
2006-07-03,0,0.00941641827786719,0,0,0,0.00783413602903327
2006-07-05,0,0.0093456146061209,0,0,0,-0.00727532510115037
2006-07-06,0,0.00925405989164772,0,0,0,0.00249117021237755
2006-07-07,0,0.00902979109137216,0,0,0,-0.00677285267886862
